source_site,micro_area,topology,price_ksh,sq_ft,borehole,parking,security,content_hash
Jiji Kenya,Kiora Estate,Apartment,150000,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 150,000 per month 5bdrm House in Kiora Estate, Kiambu / Kiambu  for rent 5 bedroom house in kiora estate Kiambu To"
Jiji Kenya,Kiora Estate,Apartment,150000,0,0,0,0,"KSh 150,000 per month 5bdrm House in Kiora Estate, Kiambu / Kiambu  for rent 5 bedroom house in kiora estate Kiambu Town. Estate located just 5 km off"
Jiji Kenya,Kiora Estate,Apartment,150000,0,0,0,0,"KSh 150,000 per month 5bdrm House in Kiora Estate, Kiambu / Kiambu  for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"5 bedroom house in kiora estate Kiambu Town. Estate located just 5 km off Kiambu road along kirigiti... Kiambu, Kiambu / Kiambu"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,5 bedroom house in kiora estate Kiambu Town. Estate located just 5 km off Kiambu road along kirigiti...
Jiji Kenya,Mwembeni,Studio Apartment,1800,0,0,0,0,"Verified ID   5+ years on Jiji  KSh 1,800 per month Furnished Studio Apartment in Mwembeni, Bamburi Beach for rent Porshe Homestays Airbnb Studio Bamb"
Jiji Kenya,Mwembeni,Studio Apartment,1800,0,0,0,0,"KSh 1,800 per month Furnished Studio Apartment in Mwembeni, Bamburi Beach for rent Porshe Homestays Airbnb Studio Bamburi.
Cosy and just the right spa"
Jiji Kenya,Mwembeni,Studio Apartment,1800,0,0,0,0,"KSh 1,800 per month Furnished Studio Apartment in Mwembeni, Bamburi Beach for rent"
Jiji Kenya,Mwembeni,Studio Apartment,0,0,0,0,0,"Furnished Studio Apartment in Mwembeni, Bamburi Beach for rent"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"Porshe Homestays Airbnb Studio Bamburi.
Cosy and just the right space for you.
We can always... Mombasa, Bamburi"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"Porshe Homestays Airbnb Studio Bamburi.
Cosy and just the right space for you.
We can always..."
Jiji Kenya,Bandari,Apartment,100000,0,0,0,0,"Verified ID   3+ years on Jiji  KSh 100,000 per month Furnished 3bdrm Apartment in Bandari, Moi Avenue (Msa) for rent Three bedroom Fully furnished ap"
Jiji Kenya,Bandari,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 3bdrm Apartment in Bandari, Moi Avenue (Msa) for rent Three bedroom Fully furnished apartment . The apartment has a wa"
Jiji Kenya,Bandari,Apartment,100000,0,0,0,0,"KSh 100,000 per month Furnished 3bdrm Apartment in Bandari, Moi Avenue (Msa) for rent"
Jiji Kenya,Bandari,Apartment,0,0,0,0,0,"Furnished 3bdrm Apartment in Bandari, Moi Avenue (Msa) for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Three bedroom Fully furnished apartment . The apartment has a washing machine, smart tv, Wifi ,air... Mombasa, Mombasa CBD"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Three bedroom Fully furnished apartment . The apartment has a washing machine, smart tv, Wifi ,air..."
Jiji Kenya,Kilimani,Studio Apartment,42000,0,0,0,0,"5+ years on Jiji  DIAMOND KSh 42,000 per month Furnished Studio Apartment in Kilimani, Riara Rd, Hurlingham for rent No charges for Viewing... 1-br fu"
Jiji Kenya,Kilimani,Studio Apartment,42000,0,0,0,0,"KSh 42,000 per month Furnished Studio Apartment in Kilimani, Riara Rd, Hurlingham for rent No charges for Viewing... 1-br fully-furnished studio with "
Jiji Kenya,Kilimani,Studio Apartment,42000,0,0,0,0,"KSh 42,000 per month Furnished Studio Apartment in Kilimani, Riara Rd, Hurlingham for rent"
Jiji Kenya,Kilimani,Studio Apartment,0,0,0,0,0,"Furnished Studio Apartment in Kilimani, Riara Rd, Hurlingham for rent"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"No charges for Viewing... 1-br fully-furnished studio with washing machine, dstv & wifi is now ready... Nairobi, Kilimani"
Jiji Kenya,Nairobi Region,Studio Apartment,0,0,0,0,0,"No charges for Viewing... 1-br fully-furnished studio with washing machine, dstv & wifi is now ready..."
Jiji Kenya,Airport Road,Apartment,60000,0,0,0,0,"KSh 60,000 per month 2bdrm Apartment in Airport Road, Diani for rent 2 bedroom apartment Behind Diani Centrepoint Mall.
5 minutes walk to carrefour, 
"
Jiji Kenya,Airport Road,Apartment,60000,0,0,0,0,"KSh 60,000 per month 2bdrm Apartment in Airport Road, Diani for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"2 bedroom apartment Behind Diani Centrepoint Mall.
5 minutes walk to carrefour, 
3 mins walk to... Kwale, Diani"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"2 bedroom apartment Behind Diani Centrepoint Mall.
5 minutes walk to carrefour, 
3 mins walk to..."
Jiji Kenya,Nairobi Region,Apartment,120000,0,0,0,0,"Verified ID  KSh 120,000 per month Furnished 2bdrm Apartment in A Homes., Spring Valley for rent Az Apartments,Westlands. 
Its a 2br and 1br ,furnishe"
Jiji Kenya,Nairobi Region,Apartment,120000,0,0,0,0,"KSh 120,000 per month Furnished 2bdrm Apartment in A Homes., Spring Valley for rent Az Apartments,Westlands. 
Its a 2br and 1br ,furnished and fully s"
Jiji Kenya,Nairobi Region,Apartment,120000,0,0,0,0,"KSh 120,000 per month Furnished 2bdrm Apartment in A Homes., Spring Valley for rent"
Jiji Kenya,Nairobi Region,Apartment,0,0,0,0,0,"Furnished 2bdrm Apartment in A Homes., Spring Valley for rent"
